ID,Email,FirstName,lastName,Age,Gender,Type,Status,Children,Estimated Income,Car owner,churn score,churn class,churn status,zipCode,Marital Status,Long Distance,LongDistanceBilltype,International,Local,LocalBilltype,Dropped,Paymethod,RatePlan,Balance,Usage
48,Name_48@email.com,firstName_48,Name_48,39.426667,F,Person,S,1,13576.5,FALSE,0.86165784,T,Assessed,43000,Single,14.83,Standard,41.87290091,25.66,Budget,0,CC,1,25.83443308,40.49
52,Name_52@email.com,firstName_52,Name_52,53.12,F,Person,M,2,67388,FALSE,0.948825006,T,Assessed,95051,Married,4.79,Standard,0.5,91.04,Budget,1,CC,3,139.418904,96.33
53,Name_53@email.com,firstName_53,Name_53,52.333333,F,Person,M,1,57063,FALSE,0.136643685,F,Assessed,6000,Married,16.79,Standard,34.96060724,81.3,Budget,0,CH,4,17.2050948,98.1
54,Name_54@email.com,firstName_54,Name_54,54.013333,F,Person,M,2,84166.1,FALSE,0.948707397,T,Assessed,87430,Married,3.28,Standard,18.77290973,11.74,Budget,1,CC,2,116.9422047,15.02
60,Name_60@email.com,firstName_60,Name_60,42.666667,F,Person,S,1,7737.94,FALSE,0.975344948,T,Assessed,93000,Single,11.05,Standard,0.91214358,50.84,FreeLocal,0,CC,4,91.22750431,61.9
61,Name_61@email.com,firstName_61,Name_61,50,M,Person,S,2,100020,FALSE,0.871734943,T,Assessed,94000,Single,21.37,Standard,35.6370663,293.24,Budget,0,CH,4,2.956952228,314.62
62,Name_62@email.com,firstName_62,Name_62,29.026667,F,Person,M,2,45287.6,FALSE,0.257340805,F,Assessed,87430,Married,0,Standard,23.55184343,2.97,Budget,0,CC,3,136.4240754,2.97
63,Name_63@email.com,firstName_63,Name_63,34.32,F,Person,M,2,59613.1,FALSE,0.729341526,T,Assessed,6000,Married,12.37,Intnl_discount,8.945878539,163.41,Budget,0,CC,1,42.35312505,175.78
65,Name_65@email.com,firstName_65,Name_65,50.613333,F,Person,S,1,16326.7,FALSE,0.737641038,T,Assessed,87430,Single,0,Intnl_discount,9.551392915,1.34,FreeLocal,0,CC,1,80.51902788,1.34
68,Name_68@email.com,firstName_68,Name_68,51.38,F,Person,S,2,9559.78,FALSE,0.847252039,T,Assessed,93000,Single,18.31,Standard,39.18422619,59.59,FreeLocal,0,CC,3,13.37372236,77.91
71,Name_71@email.com,firstName_71,Name_71,50.753333,F,Person,M,2,42031.8,FALSE,0.263468201,F,Assessed,94000,Married,20.45,Intnl_discount,1.894681478,39.33,Budget,0,CH,4,74.5522048,59.78
73,Name_73@email.com,firstName_73,Name_73,28.42,F,Person,M,2,83284.1,FALSE,0.23061295,F,Assessed,95051,Married,26.91,Intnl_discount,40.77909964,9.04,FreeLocal,0,Auto,4,55.16739996,35.96
74,Name_74@email.com,firstName_74,Name_74,26.26,M,Person,M,1,39229.1,FALSE,0.292348703,F,Assessed,93000,Married,28.82,Intnl_discount,4.74,13.53,Budget,0,CC,4,89.14177466,47.1
75,Name_75@email.com,firstName_75,Name_75,42.393333,F,Person,S,0,68427.4,FALSE,0.481611669,F,Assessed,92100,Single,23.76,Standard,18.10519857,50.05,FreeLocal,0,Auto,3,4.739577514,73.81
77,Name_77@email.com,firstName_77,Name_77,49.266667,M,Person,S,0,3601.71,FALSE,0.76774339,T,Assessed,43000,Single,9.57,Intnl_discount,4.19,111.84,Budget,0,Auto,4,123.6375446,125.6
78,Name_78@email.com,firstName_78,Name_78,27.646667,F,Person,M,0,72642.6,FALSE,0.638169077,F,Assessed,6200,Married,18.66,Intnl_discount,1.670910418,20.34,FreeLocal,0,CH,4,1.735100108,39
79,Name_79@email.com,firstName_79,Name_79,55.66,F,Person,S,0,98716.3,FALSE,0.745241608,T,Assessed,43000,Single,20.97,Standard,8.23,13.92,FreeLocal,0,CC,4,146.7526552,43.13
80,Name_80@email.com,firstName_80,Name_80,62.48,F,Person,S,2,66182.7,FALSE,0.133171741,F,Assessed,6200,Single,11.7,Standard,30.0133935,47.17,Budget,0,Auto,2,8.397487175,58.87
81,Name_81@email.com,firstName_81,Name_81,50.433333,F,Person,M,2,84789.3,FALSE,0.869344378,T,Assessed,92100,Married,14.22,Standard,8.8,10.45,FreeLocal,0,CH,4,60.68851908,33.47
83,Name_83@email.com,firstName_83,Name_83,48.853333,F,Person,M,2,35976.5,FALSE,0.91789281,T,Assessed,94000,Married,18.85,Intnl_discount,26.45619027,31.78,FreeLocal,0,Auto,4,88.37642784,50.63
84,Name_84@email.com,firstName_84,Name_84,64.92,F,Person,M,0,32703.1,FALSE,0.326835785,F,Assessed,87430,Married,16.8,Intnl_discount,44.36363983,56.09,Budget,0,CC,4,44.26586767,72.89
85,Name_85@email.com,firstName_85,Name_85,61.846667,F,Person,M,1,77129.1,FALSE,0.430196117,F,Assessed,43000,Married,24.77,Intnl_discount,14.18776502,20.07,FreeLocal,0,CH,4,75.74009699,44.85
86,Name_86@email.com,firstName_86,Name_86,52.973333,F,Person,M,2,8204.72,FALSE,0.313918247,F,Assessed,95051,Married,15.59,Standard,12.68079514,24.19,FreeLocal,0,CH,3,98.90664078,39.79
87,Name_87@email.com,firstName_87,Name_87,50.6,M,Person,M,1,97180.4,FALSE,0.9648815,T,Assessed,6000,Married,8.21,Standard,9.63,45.66,FreeLocal,0,CC,4,21.79999723,63.51
88,Name_88@email.com,firstName_88,Name_88,60.226667,F,Person,M,0,80405.1,FALSE,0.351518248,F,Assessed,6000,Married,2.91,Standard,8.95,17.11,FreeLocal,0,CC,4,36.68646876,28.98
89,Name_89@email.com,firstName_89,Name_89,33.74,F,Person,S,2,38280,FALSE,0.777546441,T,Assessed,92100,Single,11.64,Intnl_discount,46.31195135,74.97,FreeLocal,0,Auto,4,128.940329,86.61
90,Name_90@email.com,firstName_90,Name_90,61.106667,M,Person,S,0,64136.6,FALSE,0.978803147,T,Assessed,87430,Single,16.21,Intnl_discount,1,125.15,FreeLocal,0,CC,2,30.49178977,142.37
92,Name_92@email.com,firstName_92,Name_92,61.713333,F,Person,M,2,45429.7,FALSE,0.926326322,T,Assessed,87430,Married,24.7,Standard,45.72538989,73.04,FreeLocal,0,CH,2,62.37750318,97.74
94,Name_94@email.com,firstName_94,Name_94,53.986667,F,Person,S,0,25285.5,FALSE,0.912038517,T,Assessed,6200,Single,9.37,Standard,36.07061866,11.93,FreeLocal,0,CC,1,77.89350057,21.3
95,Name_95@email.com,firstName_95,Name_95,33.6,F,Person,M,2,77551.1,FALSE,0.109782867,F,Assessed,6200,Married,20.53,Intnl_discount,2.146792209,41.89,Budget,1,CC,2,86.17650349,62.42
96,Name_96@email.com,firstName_96,Name_96,12.326667,F,Person,M,0,38538.4,FALSE,0.849924838,T,Assessed,43000,Married,22.86,Standard,8.32,16.48,FreeLocal,0,CC,3,114.3122901,47.66
97,Name_97@email.com,firstName_97,Name_97,57.42,F,Person,S,0,69350.5,FALSE,0.571413028,F,Assessed,95051,Single,1.9,Standard,25.79826494,25.95,FreeLocal,0,CC,4,110.246404,27.86
104,Name_104@email.com,firstName_104,Name_104,21.78,M,Person,S,2,43634.5,FALSE,0.958350788,T,Assessed,6200,Single,29.44,Standard,9.42,104.64,Budget,0,CC,1,53.31101479,143.5
108,Name_108@email.com,firstName_108,Name_108,62.606667,F,Person,S,1,13109.1,FALSE,0.838838031,T,Assessed,94000,Single,22.38,Standard,49.53662478,40.48,Budget,0,Auto,1,24.20376149,62.87
109,Name_109@email.com,firstName_109,Name_109,56.046667,M,Person,S,1,92647.5,FALSE,0.784603398,T,Assessed,87430,Single,16.04,Standard,5.74,10.34,Budget,0,CC,4,26.25129766,32.13
110,Name_110@email.com,firstName_110,Name_110,62.753333,F,Person,S,2,21021.6,FALSE,0.983493461,T,Assessed,87430,Single,1,Standard,38.05209462,11.19,Budget,0,CC,3,88.45965171,14.95
111,Name_111@email.com,firstName_111,Name_111,55.34,M,Person,S,0,74460.7,FALSE,0.720376775,T,Assessed,92100,Single,25.53,Standard,0.99,179.93,FreeLocal,0,CC,2,149.7797716,206.46
114,Name_114@email.com,firstName_114,Name_114,41.666667,F,Person,S,2,28787.4,FALSE,0.934737912,T,Assessed,95051,Single,27.97,Standard,40.908466,58.09,Budget,0,Auto,2,62.63757105,86.06
117,Name_117@email.com,firstName_117,Name_117,59.126667,M,Person,M,1,13091.6,FALSE,0.371418084,F,Assessed,94000,Married,22.79,Intnl_discount,42.16531304,20.26,Budget,0,CC,2,42.88410507,43.06
120,Name_120@email.com,firstName_120,Name_120,45.92,F,Person,M,2,62061.8,FALSE,0.592139836,F,Assessed,6000,Married,29.86,Standard,7.293918737,52.22,FreeLocal,0,Auto,2,96.53619634,82.08
121,Name_121@email.com,firstName_121,Name_121,22.12,F,Person,M,1,20550.9,FALSE,0.822864174,T,Assessed,93000,Married,27.72,Standard,0.86,57.06,Budget,0,CC,3,141.5011519,85.64
124,Name_124@email.com,firstName_124,Name_124,18.766667,M,Person,M,2,1765.41,FALSE,0.430619987,F,Assessed,43000,Married,3.04,Standard,47.96639882,44.95,FreeLocal,0,CC,4,47.34227602,47.99
127,Name_127@email.com,firstName_127,Name_127,56.186667,F,Person,S,2,19131.1,FALSE,0.802930251,T,Assessed,93000,Single,22.15,Standard,8.141716787,34.91,Budget,0,Auto,2,30.70788944,57.07
130,Name_130@email.com,firstName_130,Name_130,39.553333,F,Person,S,2,83073.7,FALSE,0.697322815,F,Assessed,6000,Single,0,Standard,29.77955792,3.2,Budget,0,CC,4,48.0548094,3.2
133,Name_133@email.com,firstName_133,Name_133,50.493333,M,Person,M,2,42750.3,FALSE,0.582082743,F,Assessed,94000,Married,20.59,Intnl_discount,1.97,112.4,Budget,0,Auto,1,123.8013419,134.97
135,Name_135@email.com,firstName_135,Name_135,45.92,F,Person,S,2,2842.55,FALSE,0.740408887,T,Assessed,94000,Single,0,Intnl_discount,48.01079667,0.79,Budget,0,Auto,2,134.116364,0.79
136,Name_136@email.com,firstName_136,Name_136,52.626667,M,Person,M,2,22358.1,FALSE,0.504793408,F,Assessed,94000,Married,15.54,Standard,1.52,12.19,Budget,0,CC,1,36.73659083,29.25
138,Name_138@email.com,firstName_138,Name_138,27.26,M,Person,M,0,47870.8,FALSE,0.344307636,F,Assessed,93000,Married,2,Standard,1.17,12.48,FreeLocal,0,CC,2,102.7114593,13.82
139,Name_139@email.com,firstName_139,Name_139,52.646667,F,Person,S,2,6440.46,FALSE,0.504263237,F,Assessed,92100,Single,22.66,Standard,7.127887366,27.2,Budget,0,CH,1,24.12818397,49.86
140,Name_140@email.com,firstName_140,Name_140,36.92,F,Person,S,0,7325.5,FALSE,0.962426936,T,Assessed,43000,Single,28.52,Intnl_discount,46.22521474,161.54,FreeLocal,0,CC,2,61.5302244,190.06
142,Name_142@email.com,firstName_142,Name_142,46.84,M,Person,M,2,28766.9,FALSE,0.593078046,F,Assessed,94000,Married,6.11,Standard,43.15561212,58.08,Budget,0,CC,1,82.79341789,64.2
148,Name_148@email.com,firstName_148,Name_148,25.033333,M,Person,M,2,91272.2,FALSE,0.508098749,F,Assessed,6200,Married,26.99,Standard,30.86140457,13.01,FreeLocal,0,CC,3,121.2249395,40
154,Name_154@email.com,firstName_154,Name_154,45.653333,M,Person,S,0,65000,FALSE,0.789876314,T,Assessed,93000,Single,11.63,Intnl_discount,9.7,115.66,FreeLocal,1,Auto,4,121.1260848,137
158,Name_158@email.com,firstName_158,Name_158,19.306667,M,Person,M,2,1406.05,FALSE,0.67930914,F,Assessed,94000,Married,11.55,Standard,38.83768957,15.17,Budget,0,CC,1,126.9568227,26.72
160,Name_160@email.com,firstName_160,Name_160,62,F,Person,S,0,73228.3,FALSE,0.693040585,F,Assessed,93000,Single,22.47,Standard,2.784164665,28.11,Budget,0,Auto,4,93.46811846,50.58
161,Name_161@email.com,firstName_161,Name_161,63.806667,F,Person,S,2,76231.9,FALSE,0.699766681,F,Assessed,6000,Single,2.01,Standard,2.240659708,150.75,FreeLocal,0,Auto,2,19.62875054,152.76
166,Name_166@email.com,firstName_166,Name_166,52.146667,M,Person,M,1,64792.3,FALSE,0.971099346,T,Assessed,92100,Married,13.05,Standard,1.51,36.84,FreeLocal,0,CH,3,56.10206066,51.41
169,Name_169@email.com,firstName_169,Name_169,40.313333,F,Person,S,0,93322.1,FALSE,0.813808459,T,Assessed,93000,Single,29.92,Intnl_discount,41.74564152,8.79,Budget,0,CH,1,109.3375844,38.72
174,Name_174@email.com,firstName_174,Name_174,63.653333,M,Person,M,1,63437.3,FALSE,0.757750484,T,Assessed,43000,Married,0.68,Intnl_discount,3.35,10.94,Budget,0,CC,4,145.7333849,14.98
178,Name_178@email.com,firstName_178,Name_178,51.52,M,Person,M,2,49910.7,FALSE,0.301940119,F,Assessed,43000,Married,27.42,Standard,39.20227144,23.72,Budget,0,CC,3,28.8690209,51.14
180,Name_180@email.com,firstName_180,Name_180,44.573333,M,Person,M,0,76161.4,FALSE,0.921026085,T,Assessed,94000,Married,11.96,Standard,3.388209453,25.58,FreeLocal,0,CC,4,25.50996289,37.55
181,Name_181@email.com,firstName_181,Name_181,14.573333,F,Person,M,2,55860,FALSE,0.162029118,F,Assessed,6000,Married,16.01,Intnl_discount,2.336919677,10.35,FreeLocal,0,CC,3,118.9168355,26.37
182,Name_182@email.com,firstName_182,Name_182,64.8,F,Person,S,1,12686,FALSE,0.789652188,T,Assessed,6000,Single,23.23,Standard,37.4475554,80.64,Budget,0,Auto,2,11.72460376,103.88
190,Name_190@email.com,firstName_190,Name_190,53.253333,M,Person,M,2,57360.8,FALSE,0.486302619,F,Assessed,93000,Married,10.36,Standard,24.38095228,57.25,FreeLocal,0,CC,1,5.849136131,67.61
191,Name_191@email.com,firstName_191,Name_191,45.513333,M,Person,M,0,92414.7,FALSE,0.824533696,T,Assessed,93000,Married,29.43,Standard,43.34102139,10.62,FreeLocal,0,CC,4,72.66375336,40.06
192,Name_192@email.com,firstName_192,Name_192,42.14,M,Person,M,1,60102.7,FALSE,0.750661384,T,Assessed,43000,Married,9.84,Standard,10.30039597,62.44,FreeLocal,1,CH,3,83.74032054,72.29
194,Name_194@email.com,firstName_194,Name_194,55,F,Person,M,2,17888.7,FALSE,0.689145979,F,Assessed,87430,Married,29.41,Standard,13.39613651,332.46,Budget,0,CC,1,13.18184435,361.88
195,Name_195@email.com,firstName_195,Name_195,53.553333,F,Person,S,1,12526.3,FALSE,0.95133239,T,Assessed,6000,Single,11.72,Intnl_discount,46.89638821,28.86,FreeLocal,0,CC,2,25.06460284,40.59
198,Name_198@email.com,firstName_198,Name_198,60.933333,F,Person,S,2,14578.8,FALSE,0.992207037,T,Assessed,95051,Single,11.91,Standard,36.29584458,95.1,Budget,0,Auto,1,8.958671793,107.02
201,Name_201@email.com,firstName_201,Name_201,42.346667,M,Person,M,0,78572.2,FALSE,0.711626194,T,Assessed,6000,Married,21.81,Standard,17.87067816,29.28,FreeLocal,1,CC,4,108.9636048,51.09
203,Name_203@email.com,firstName_203,Name_203,34.706667,F,Person,M,2,48238.8,FALSE,0.175401543,F,Assessed,92100,Married,23.28,Standard,5.570525914,168.03,FreeLocal,0,CC,4,98.72722394,191.32
205,Name_205@email.com,firstName_205,Name_205,12.34,F,Person,M,0,28770.9,FALSE,0.516404772,F,Assessed,6000,Married,27.99,Standard,5.32,16.27,FreeLocal,0,CH,4,51.2907999,49.6
206,Name_206@email.com,firstName_206,Name_206,53.366667,F,Person,M,2,87578.2,FALSE,0.665155342,F,Assessed,6200,Married,0.29,Standard,21.00055063,22.15,Budget,0,CC,1,69.43494981,22.44
207,Name_207@email.com,firstName_207,Name_207,13.906667,F,Person,M,2,86695.4,FALSE,0.450538994,F,Assessed,87430,Married,25.94,Standard,43.02457086,32.09,FreeLocal,0,CC,2,31.60739401,58.03
209,Name_209@email.com,firstName_209,Name_209,61,F,Person,S,2,76791.2,FALSE,0.63331816,F,Assessed,6200,Single,20.71,Intnl_discount,16.26631756,23,Budget,0,CC,4,140.563738,43.71
213,Name_213@email.com,firstName_213,Name_213,14.193333,F,Person,D,0,30763.8,FALSE,0.824056767,T,Assessed,93000,Divorsed,21.32,Standard,4.756639412,35.85,Budget,0,CC,4,63.06664578,57.17
214,Name_214@email.com,firstName_214,Name_214,54.046667,F,Person,M,2,3193.6,FALSE,0.671958829,F,Assessed,6000,Married,4.19,Standard,18.9456116,114.62,Budget,1,CH,3,9.379514485,118.82
215,Name_215@email.com,firstName_215,Name_215,15.846667,M,Person,M,1,69680.9,FALSE,0.537476487,F,Assessed,94000,Married,7.67,Intnl_discount,9.836454839,32.12,FreeLocal,0,CC,2,5.712846499,39.8
218,Name_218@email.com,firstName_218,Name_218,45.486667,F,Person,M,0,83287,FALSE,0.610598255,F,Assessed,43000,Married,29.64,Intnl_discount,11.7097128,90.18,FreeLocal,4,Auto,3,100.9129889,119.82
219,Name_219@email.com,firstName_219,Name_219,18.94,M,Person,S,0,2056.06,FALSE,0.80155488,T,Assessed,94000,Single,24.07,Standard,6.98,27.75,Budget,0,Auto,2,7.899485123,58.8
220,Name_220@email.com,firstName_220,Name_220,35.706667,F,Person,M,2,7776.6,FALSE,0.312245578,F,Assessed,87430,Married,25.87,Standard,47.59352089,68.33,FreeLocal,0,CC,4,68.5660233,94.2
221,Name_221@email.com,firstName_221,Name_221,47.853333,M,Person,M,1,2067.82,FALSE,0.674931984,F,Assessed,94000,Married,15.25,Intnl_discount,34.88617298,70.65,Budget,0,CC,4,44.31380429,85.9
222,Name_222@email.com,firstName_222,Name_222,52,M,Person,S,0,66666,FALSE,0.76805262,T,Assessed,95051,Single,4.58,Standard,7.66,8.49,Budget,0,CH,1,144.6552414,20.74
224,Name_224@email.com,firstName_224,Name_224,42.166667,F,Person,M,2,69343.3,FALSE,0.480354324,F,Assessed,93000,Married,6.36,Standard,20.73765364,15.54,FreeLocal,0,CC,2,90.01933667,21.91
225,Name_225@email.com,firstName_225,Name_225,55,F,Person,M,0,77000,FALSE,0.310577533,F,Assessed,6200,Married,0.57,Standard,13.38098317,23.89,Budget,2,Auto,4,68.72298498,24.46
228,Name_228@email.com,firstName_228,Name_228,52,F,Person,M,0,14932.5,FALSE,0.516669135,F,Assessed,43000,Married,4.91,Intnl_discount,30.28411468,6.5,Budget,0,CC,1,97.0408783,11.42
229,Name_229@email.com,firstName_229,Name_229,42,F,Person,S,0,27498.1,FALSE,0.527362909,F,Assessed,95051,Single,2.2,Intnl_discount,34.71476522,9.88,Budget,0,CC,4,52.69893503,12.08
231,Name_231@email.com,firstName_231,Name_231,59.833333,F,Person,M,2,21419.9,FALSE,0.498747696,F,Assessed,94000,Married,26.39,Standard,37.96826681,103.12,FreeLocal,0,CC,1,122.2394109,129.51
232,Name_232@email.com,firstName_232,Name_232,22.88,F,Person,M,2,30665.2,FALSE,0.139428518,F,Assessed,6200,Married,5.83,Standard,8.32,63.28,FreeLocal,0,Auto,3,49.94567824,77.44
233,Name_233@email.com,firstName_233,Name_233,63.353333,F,Person,M,1,66000,FALSE,0.107754817,F,Assessed,95051,Married,6.08,Intnl_discount,1.424089058,30.95,FreeLocal,0,Auto,2,70.16004218,37.04
234,Name_234@email.com,firstName_234,Name_234,52,F,Person,M,2,50561.3,FALSE,0.166148837,F,Assessed,93000,Married,16.6,Standard,16.71262133,113.31,Budget,1,CH,2,26.43827199,129.91
236,Name_236@email.com,firstName_236,Name_236,70,F,Person,S,2,23464,FALSE,0.979670873,T,Assessed,93000,Single,22.43,Intnl_discount,25.22389763,41.71,Budget,0,CC,3,30.00622823,64.14
237,Name_237@email.com,firstName_237,Name_237,42,F,Person,M,2,194.57,FALSE,0.451495976,F,Assessed,92100,Married,28.26,Standard,18.88707604,38.95,FreeLocal,0,CC,4,36.35805607,67.21
238,Name_238@email.com,firstName_238,Name_238,55,F,Person,M,1,98680.4,FALSE,0.388001735,F,Assessed,94000,Married,17.58,Intnl_discount,23.40271992,8.85,FreeLocal,0,CH,4,4.714522081,26.44
239,Name_239@email.com,firstName_239,Name_239,46,M,Person,M,1,65619.7,FALSE,0.780558699,T,Assessed,87430,Married,13.56,Standard,21.72536109,144.66,Budget,0,CC,3,11.23544096,158.22
240,Name_240@email.com,firstName_240,Name_240,52,F,Person,M,1,95620.3,FALSE,0.156460083,F,Assessed,94000,Married,10.91,Standard,28.89861679,93.61,Budget,0,CC,2,70.49643592,104.53
241,Name_241@email.com,firstName_241,Name_241,47,F,Person,S,0,85275,FALSE,0.577497597,F,Assessed,95051,Single,22.48,Intnl_discount,23.01290024,151.61,FreeLocal,0,Auto,2,147.6691999,174.09
242,Name_242@email.com,firstName_242,Name_242,43,F,Person,M,1,66921.4,FALSE,0.655218714,F,Assessed,93000,Married,15.7,Intnl_discount,24.83681633,8.97,FreeLocal,0,CC,3,147.79917,24.67
243,Name_243@email.com,firstName_243,Name_243,46,F,Person,M,1,98453.6,FALSE,0.468267924,F,Assessed,92100,Married,13.72,Standard,26.21091826,11.65,FreeLocal,0,Auto,3,17.25998342,25.38
244,Name_244@email.com,firstName_244,Name_244,27.746667,F,Person,M,2,94026.8,FALSE,0.486856686,F,Assessed,6000,Married,25,Intnl_discount,12.51443614,10.62,FreeLocal,0,CC,3,59.85897144,35.63
246,Name_246@email.com,firstName_246,Name_246,61,F,Person,S,2,57420,FALSE,0.270090669,F,Assessed,87430,Single,25.18,Standard,31.9707942,252.53,Budget,1,Auto,2,74.5715068,277.72
247,Name_247@email.com,firstName_247,Name_247,44,M,Person,M,0,77000,FALSE,0.991463547,T,Assessed,95051,Married,3.93,Standard,3.73,26.69,FreeLocal,1,CH,4,51.9889655,34.35
249,Name_249@email.com,firstName_249,Name_249,48,M,Person,M,2,47639.1,FALSE,0.579908288,F,Assessed,43000,Married,17.48,Intnl_discount,32.7378697,39.62,Budget,0,CC,4,81.55477295,57.11
250,Name_250@email.com,firstName_250,Name_250,52.36,F,Person,M,2,63234.5,FALSE,0.293695511,F,Assessed,92100,Married,0,Intnl_discount,14.0208155,1.16,FreeLocal,0,CH,3,142.6502536,1.16
254,Name_254@email.com,firstName_254,Name_254,42.626667,F,Person,M,2,18296.4,FALSE,0.140574462,F,Assessed,6000,Married,0.08,Standard,24.60576834,10.39,FreeLocal,0,CC,3,60.68893458,10.47
255,Name_255@email.com,firstName_255,Name_255,22.226667,F,Person,S,0,39461,FALSE,0.764475015,T,Assessed,6200,Single,22.87,Standard,0.28,103.52,FreeLocal,1,CC,4,93.36077114,126.68
257,Name_257@email.com,firstName_257,Name_257,60,F,Person,S,1,68000,FALSE,0.574333498,F,Assessed,93000,Single,22.82,Standard,12.73839869,63.29,FreeLocal,0,Auto,3,59.09179227,86.12
260,Name_260@email.com,firstName_260,Name_260,39.746667,F,Person,M,2,52957,FALSE,0.546219579,F,Assessed,6200,Married,25.79,Standard,47.89032976,125.52,FreeLocal,2,CH,2,106.5146182,151.32
261,Name_261@email.com,firstName_261,Name_261,64.853333,F,Person,S,2,86747.1,FALSE,0.561562554,F,Assessed,6000,Single,20.15,Standard,48.13127918,37.24,Budget,0,Auto,3,145.2524508,57.4
263,Name_263@email.com,firstName_263,Name_263,63.186667,F,Person,M,1,87404.6,FALSE,0.32755541,F,Assessed,87430,Married,21.63,Standard,4.094788478,139.2,Budget,0,Auto,3,54.24729195,160.84
264,Name_264@email.com,firstName_264,Name_264,27.886667,M,Person,S,2,20919,FALSE,0.591437261,F,Assessed,6000,Single,6.26,Intnl_discount,4.92,153.36,FreeLocal,0,CC,2,8.86124206,164.54
